Data;ISPB;Nome;NaturezaUsuario;TipoChave;qtdChaves
31/01/2023;5582619;CC SICOOB OURO VERDE;PJ;e-mail;2142
30/06/2023;3102185;CC DOS SERVIDORES, EMPRESARIOS, AUTONOMOS E LIBERAIS;PF;e-mail;121
31/05/2023;9343038;COOP SICREDI ALTSERTAO PARAIBANO;PF;Aleatoria;582
31/07/2023;3428338;SICREDI CREDUNI;PJ;Aleatoria;203
28/02/2023;25387671;CC ALTO PARANAIBA E REGIAO;PJ;Aleatoria;408
28/02/2023;7502031;CCLA CENTRO OESTE LTDA;PJ;Celular;534
30/06/2023;81706616;COOP SICREDI VLR SUSTENT PR/SP;PJ;Celular;599
30/06/2023;9089356;EFAç SA - IP;PJ;e-mail;10026
30/04/2023;2282165;CC SICOOB CREDICONQUISTA;PJ;Celular;598
28/02/2023;4013172;CC SICOOB 3 COLINAS;PJ;CNPJ;2335
31/03/2023;7440317;CC SICOOB CREDMED;PF;CPF;1
31/08/2023;17819084;PAGCERTO;PJ;CNPJ;929
30/04/2023;2663426;COOP CRESOL NOROESTE;PF;e-mail;1272
31/03/2023;21332862;CARTOS SCD SA;PF;Celular;177
28/02/2023;4307598;FIDUCIA SCMEPP LTDA;PF;Celular;50
31/01/2023;3130170;BRASIL CARD IP LTDA;PF;Aleatoria;2444
30/04/2023;2602922;CC MAD, SERV PUBL E EMP DO NE LTDA;PJ;Celular;205
31/08/2023;8850613;CECM EMPR CENT ELETRICAS/SC;PF;Aleatoria;480
31/08/2023;64739121;SICOOB CRED COPERCANA;PJ;e-mail;12
31/07/2023;90497256;COOP SICREDI INTERESTADOS RS/ES;PF;e-mail;5792
31/01/2023;2904125;COOP CRESOL JACUTINGA;PF;Celular;902
31/01/2023;3320525;COOP ARACOOP LTDA - SICOOB ARACOOP;PF;Aleatoria;5913
31/01/2023;10520232;COOP CRESOL AMAZONIA;PF;CPF;2468
31/08/2023;416968;BANCO INTER;PJ;Aleatoria;368895
31/07/2023;58497702;BCO LETSBANK SA;PJ;Celular;318
31/07/2023;15357060;BCO WOORI BANK DO BRASIL SA;PJ;Aleatoria;1
31/08/2023;17184037;BCO MERCANTIL DO BRASIL SA;PJ;CNPJ;872
28/02/2023;7509426;COOP CRESOL XANXERE;PF;CPF;811
31/01/2023;2587492;CCLA URUBICI;PF;Aleatoria;708
30/04/2023;2528151;CC SICOOB CREDCOOP;PJ;CNPJ;624
30/04/2023;22760839;CC NOSSOCREDITO;PF;Celular;2821
31/07/2023;3519240;CC PODER JUD E MP MG;PF;Aleatoria;558
31/05/2023;23757411;RCCL IP SA;PF;Celular;5
31/08/2023;9464032;MIDWAY SA - SCFI;PF;Celular;47912
31/01/2023;9576849;CCLA CERES E RIALMA LTDA;PF;e-mail;182
30/06/2023;63229629;CCR ASCOOB SISAL;PJ;e-mail;132
31/03/2023;33579731;CCLA CENTRO-SUL GOIANO;PF;Celular;1963
31/01/2023;3323840;BCO ALFA SA;PF;Aleatoria;51
30/04/2023;78834975;CCLA DO VALE DO CANOINHAS;PJ;CNPJ;7612
30/06/2023;9639338;CECM PRAIA GRANDE E REGIA£O;PJ;Celular;2
31/08/2023;4862600;PORTOSEG SA CFI;PF;e-mail;1269
31/05/2023;1796302;UNICRED REGIAO DOS VALES;PF;CPF;1444
28/02/2023;41255225;COOP SICREDI CENT PERNAMBUCANA;PF;Celular;1519
30/06/2023;3612764;COOP FRONTEIRAS;PF;e-mail;1636
31/07/2023;2447120;CC SICOOB EXTREMO SUL LTDA;PF;Celular;2214
31/03/2023;8055016;COOP CRESOL INTERACAO;PF;Celular;575
31/07/2023;86389236;COOP SICOOB UNI SUDESTE;PJ;Aleatoria;919
30/04/2023;41669227;CCLA PROD RURAIS TRIAÇNGULO;PJ;Celular;740
30/06/2023;5203605;SICOOB AMAZAîNIA;PF;CPF;8326
31/08/2023;17361536;CC REG COLAR METROPOLITANO VALE DO AAáO LTDA;PF;CPF;5129
28/02/2023;2844024;COOP CRESOL EVOLUCAO;PJ;e-mail;95
30/06/2023;81115149;COOP SICREDI GRANDES LAGOS;PJ;Celular;829
28/02/2023;2794761;CECM SERV UNIV FED VI«OSA;PJ;Celular;20
28/02/2023;17343510;COOP CRESOL RAIZ;PJ;Celular;463
31/08/2023;29079725;BIT CAPITAL;PJ;Aleatoria;1
31/03/2023;45246410;BANCO GENIAL;PJ;e-mail;119
30/04/2023;75847;CC UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL;PF;e-mail;2074
31/08/2023;2015588;CCLA DO CENTRO SUL RONDONIENSE;PF;Celular;22689
31/08/2023;21995256;MAG IP LTDA;PF;Aleatoria;220
31/08/2023;2833202;UNICRED SUDOESTE DA BAHIA;PF;Celular;207
31/01/2023;5863726;COOP CRESOL PLANALTO SERRA;PJ;Celular;452
31/01/2023;79063574;COOP SICREDI NORTE SUL;PJ;e-mail;456
31/08/2023;62109566;CREDISAN CC;PF;Celular;1180
31/08/2023;8560508;COOP CRESOL TRIUNFO;PF;CPF;1910
31/07/2023;4350225;COOP CRESOL TRADICAO;PJ;Celular;671
30/06/2023;2587492;CCLA URUBICI;PJ;Aleatoria;246
30/06/2023;815319;SICOOB SUL-SERRANO;PJ;e-mail;2382
30/04/2023;51489318;CECM MAGISTRADOS DE SAO PAULO;PJ;Aleatoria;1
31/08/2023;64480833;CCLA MARTINHO CAMPOS;PF;Aleatoria;274
31/05/2023;4013172;CC SICOOB 3 COLINAS;PJ;e-mail;464
30/04/2023;2282709;COOP CENTRO NORTE BRASILEIRO;PJ;e-mail;1454
31/01/2023;87853206;COOP SICREDI OURO BRANCO RS/MG;PJ;e-mail;444
31/01/2023;19540550;ASAAS IP SA;PJ;e-mail;10632
